driverID,carPlateNumber,unix_Time,Speed,isOverspeed
duxu1000009,华AT75H8,1483459340,80.0,0
duxu1000009,华AT75H8,1483460713,146.0,1
duxu1000009,华AT75H8,1483461720,91.0,0
duxu1000009,华AT75H8,1483461730,86.0,0
duxu1000009,华AT75H8,1483462560,64.0,0
duxu1000009,华AT75H8,1483462750,63.0,0
duxu1000009,华AT75H8,1483464282,124.0,1
duxu1000009,华AT75H8,1483468700,117.0,0
duxu1000009,华AT75H8,1483468740,90.0,0
duxu1000009,华AT75H8,1483469540,118.0,0
duxu1000009,华AT75H8,1483469700,109.0,0
duxu1000009,华AT75H8,1483471780,69.0,0
duxu1000009,华AT75H8,1483472360,101.0,0
duxu1000009,华AT75H8,1483473550,97.0,0
duxu1000009,华AT75H8,1483473750,65.0,0
duxu1000009,华AT75H8,1483474030,73.0,0
duxu1000009,华AT75H8,1483474470,78.0,0
duxu1000009,华AT75H8,1483474480,110.0,0
duxu1000009,华AT75H8,1483475460,100.0,0
duxu1000009,华AT75H8,1483476825,148.0,1
duxu1000009,华AT75H8,1483481070,73.0,0
duxu1000009,华AT75H8,1483483190,97.0,0
duxu1000009,华AT75H8,1483486620,81.0,0
duxu1000009,华AT75H8,1483486720,115.0,0
duxu1000009,华AT75H8,1483488160,87.0,0
duxu1000009,华AT75H8,1483488480,105.0,0
duxu1000009,华AT75H8,1483490848,120.0,0
duxu1000009,华AT75H8,1483490850,63.0,0
duxu1000009,华AT75H8,1483495310,102.0,0
duxu1000009,华AT75H8,1483496670,109.0,0
duxu1000009,华AT75H8,1483496700,93.0,0
duxu1000009,华AT75H8,1483497604,120.0,0
duxu1000009,华AT75H8,1483499550,106.0,0
duxu1000009,华AT75H8,1483500800,78.0,0
duxu1000009,华AT75H8,1483503170,99.0,0
duxu1000009,华AT75H8,1483508150,87.0,0
duxu1000009,华AT75H8,1483509132,120.0,0
duxu1000009,华AT75H8,1483510020,92.0,0
duxu1000009,华AT75H8,1483513050,104.0,0
duxu1000009,华AT75H8,1483462170,66.0,0
duxu1000009,华AT75H8,1483462670,106.0,0
duxu1000009,华AT75H8,1483464579,74.0,0
duxu1000009,华AT75H8,1483467680,116.0,0
duxu1000009,华AT75H8,1483468640,87.0,0
duxu1000009,华AT75H8,1483471240,95.0,0
duxu1000009,华AT75H8,1483471850,61.0,0
duxu1000009,华AT75H8,1483473510,87.0,0
duxu1000009,华AT75H8,1483475830,85.0,0
duxu1000009,华AT75H8,1483476900,107.0,0
duxu1000009,华AT75H8,1483479120,77.0,0
duxu1000009,华AT75H8,1483485400,85.0,0
duxu1000009,华AT75H8,1483486820,86.0,0
duxu1000009,华AT75H8,1483489460,92.0,0
duxu1000009,华AT75H8,1483492600,70.0,0
duxu1000009,华AT75H8,1483494110,88.0,0
duxu1000009,华AT75H8,1483494320,78.0,0
duxu1000009,华AT75H8,1483495690,66.0,0
duxu1000009,华AT75H8,1483496070,110.0,0
duxu1000009,华AT75H8,1483499079,120.0,0
duxu1000009,华AT75H8,1483501160,89.0,0
duxu1000009,华AT75H8,1483503510,81.0,0
duxu1000009,华AT75H8,1483504546,100.0,0
duxu1000009,华AT75H8,1483505900,78.0,0
duxu1000009,华AT75H8,1483505970,96.0,0
duxu1000009,华AT75H8,1483506710,85.0,0
duxu1000009,华AT75H8,1483506930,71.0,0
duxu1000009,华AT75H8,1483507760,92.0,0
duxu1000009,华AT75H8,1483511100,90.0,0
duxu1000009,华AT75H8,1483514370,84.0,0
duxu1000009,华AT75H8,1483515420,87.0,0
duxu1000009,华AT75H8,1483515720,115.0,0
duxu1000009,华AT75H8,1483459960,94.0,0
duxu1000009,华AT75H8,1483460165,63.0,0
duxu1000009,华AT75H8,1483461260,124.0,0
duxu1000009,华AT75H8,1483464130,70.0,0
duxu1000009,华AT75H8,1483467478,78.66666666666667,0
duxu1000009,华AT75H8,1483471420,73.0,0
duxu1000009,华AT75H8,1483471610,109.0,0
duxu1000009,华AT75H8,1483474010,81.0,0
duxu1000009,华AT75H8,1483475260,110.0,0
duxu1000009,华AT75H8,1483478220,62.0,0
duxu1000009,华AT75H8,1483478583,118.0,0
duxu1000009,华AT75H8,1483479380,116.0,0
duxu1000009,华AT75H8,1483480910,110.0,0
duxu1000009,华AT75H8,1483482380,60.0,0
duxu1000009,华AT75H8,1483483570,88.0,0
duxu1000009,华AT75H8,1483483720,79.0,0
duxu1000009,华AT75H8,1483487810,81.0,0
duxu1000009,华AT75H8,1483491710,75.0,0
duxu1000009,华AT75H8,1483492400,139.0,0
duxu1000009,华AT75H8,1483492940,98.0,0
duxu1000009,华AT75H8,1483494830,104.0,0
duxu1000009,华AT75H8,1483497660,82.0,0
duxu1000009,华AT75H8,1483502880,119.0,0
duxu1000009,华AT75H8,1483504434,78.0,0
duxu1000009,华AT75H8,1483506146,120.0,0
duxu1000009,华AT75H8,1483507580,83.0,0
duxu1000009,华AT75H8,1483507864,129.0,1
duxu1000009,华AT75H8,1483510636,111.0,0
duxu1000009,华AT75H8,1483511340,2.0,0
duxu1000009,华AT75H8,1483459500,98.0,0
duxu1000009,华AT75H8,1483459750,65.0,0
duxu1000009,华AT75H8,1483459968,83.0,0
duxu1000009,华AT75H8,1483460460,104.0,0
duxu1000009,华AT75H8,1483462970,68.0,0
duxu1000009,华AT75H8,1483464790,123.0,0
duxu1000009,华AT75H8,1483466090,71.0,0
duxu1000009,华AT75H8,1483467140,116.0,0
duxu1000009,华AT75H8,1483467439,128.0,0
duxu1000009,华AT75H8,1483468490,76.0,0
duxu1000009,华AT75H8,1483468681,69.0,0
duxu1000009,华AT75H8,1483469110,108.0,0
duxu1000009,华AT75H8,1483473430,141.0,0
duxu1000009,华AT75H8,1483474540,81.0,0
duxu1000009,华AT75H8,1483474830,121.0,0
duxu1000009,华AT75H8,1483477810,100.0,0
duxu1000009,华AT75H8,1483478280,90.0,0
duxu1000009,华AT75H8,1483478730,98.0,0
duxu1000009,华AT75H8,1483479499,72.66666666666667,0
duxu1000009,华AT75H8,1483480020,99.0,0
duxu1000009,华AT75H8,1483487143,82.0,0
duxu1000009,华AT75H8,1483487419,133.0,1
duxu1000009,华AT75H8,1483490380,87.0,0
duxu1000009,华AT75H8,1483490870,77.0,0
duxu1000009,华AT75H8,1483491410,85.0,0
duxu1000009,华AT75H8,1483493540,107.5,0
duxu1000009,华AT75H8,1483494770,86.0,0
duxu1000009,华AT75H8,1483496830,138.0,0
duxu1000009,华AT75H8,1483497160,70.0,0
duxu1000009,华AT75H8,1483500560,60.0,0
duxu1000009,华AT75H8,1483500619,111.0,0
duxu1000009,华AT75H8,1483501530,146.0,0
duxu1000009,华AT75H8,1483504560,65.0,0
duxu1000009,华AT75H8,1483506690,101.0,0
duxu1000009,华AT75H8,1483509526,73.0,0
duxu1000009,华AT75H8,1483509970,61.0,0
duxu1000009,华AT75H8,1483510110,60.0,0
duxu1000009,华AT75H8,1483513190,88.0,0
duxu1000009,华AT75H8,1483514070,72.0,0
duxu1000009,华AT75H8,1483459380,61.0,0
duxu1000009,华AT75H8,1483460142,109.0,0
duxu1000009,华AT75H8,1483463220,60.0,0
duxu1000009,华AT75H8,1483464928,107.5,0
