driverID,carPlateNumber,unix_Time,Speed,isOverspeed
shenxian1000004,华ADJ750,1483461090,113.0,0
shenxian1000004,华ADJ750,1483461170,63.0,0
shenxian1000004,华ADJ750,1483462660,61.0,0
shenxian1000004,华ADJ750,1483463770,95.0,0
shenxian1000004,华ADJ750,1483468310,85.0,0
shenxian1000004,华ADJ750,1483470260,92.0,0
shenxian1000004,华ADJ750,1483475751,121.0,1
shenxian1000004,华ADJ750,1483477710,112.0,0
shenxian1000004,华ADJ750,1483478640,73.0,0
shenxian1000004,华ADJ750,1483480540,69.0,0
shenxian1000004,华ADJ750,1483481828,62.0,0
shenxian1000004,华ADJ750,1483481980,96.0,0
shenxian1000004,华ADJ750,1483483640,89.0,0
shenxian1000004,华ADJ750,1483484200,91.0,0
shenxian1000004,华ADJ750,1483484670,113.0,0
shenxian1000004,华ADJ750,1483485150,133.0,0
shenxian1000004,华ADJ750,1483487050,64.0,0
shenxian1000004,华ADJ750,1483487416,120.0,0
shenxian1000004,华ADJ750,1483487620,64.0,0
shenxian1000004,华ADJ750,1483487900,70.0,0
shenxian1000004,华ADJ750,1483487980,82.0,0
shenxian1000004,华ADJ750,1483488410,117.0,0
shenxian1000004,华ADJ750,1483490942,125.0,1
shenxian1000004,华ADJ750,1483496280,118.0,0
shenxian1000004,华ADJ750,1483496770,87.0,0
shenxian1000004,华ADJ750,1483498440,91.0,0
shenxian1000004,华ADJ750,1483500420,114.0,0
shenxian1000004,华ADJ750,1483503310,90.0,0
shenxian1000004,华ADJ750,1483503587,101.0,0
shenxian1000004,华ADJ750,1483506590,98.0,0
shenxian1000004,华ADJ750,1483509766,139.0,1
shenxian1000004,华ADJ750,1483510570,70.0,0
shenxian1000004,华ADJ750,1483512943,120.0,0
shenxian1000004,华ADJ750,1483514550,91.0,0
shenxian1000004,华ADJ750,1483515970,78.0,0
shenxian1000004,华ADJ750,1483516413,133.0,1
shenxian1000004,华ADJ750,1483460900,80.0,0
shenxian1000004,华ADJ750,1483461700,77.0,0
shenxian1000004,华ADJ750,1483465530,77.0,0
shenxian1000004,华ADJ750,1483466080,78.0,0
shenxian1000004,华ADJ750,1483466880,61.0,0
shenxian1000004,华ADJ750,1483470990,67.0,0
shenxian1000004,华ADJ750,1483471340,149.0,0
shenxian1000004,华ADJ750,1483473680,99.0,0
shenxian1000004,华ADJ750,1483474980,100.0,0
shenxian1000004,华ADJ750,1483477560,105.0,0
shenxian1000004,华ADJ750,1483480816,4.0,0
shenxian1000004,华ADJ750,1483483130,113.0,0
shenxian1000004,华ADJ750,1483484210,66.0,0
shenxian1000004,华ADJ750,1483484500,88.0,0
shenxian1000004,华ADJ750,1483485030,140.0,0
shenxian1000004,华ADJ750,1483486139,129.0,1
shenxian1000004,华ADJ750,1483487130,91.0,0
shenxian1000004,华ADJ750,1483488236,120.0,0
shenxian1000004,华ADJ750,1483488502,85.0,0
shenxian1000004,华ADJ750,1483489810,116.0,0
shenxian1000004,华ADJ750,1483490810,149.0,0
shenxian1000004,华ADJ750,1483491209,2.0,0
shenxian1000004,华ADJ750,1483491960,79.0,0
shenxian1000004,华ADJ750,1483492250,81.0,0
shenxian1000004,华ADJ750,1483494660,119.0,0
shenxian1000004,华ADJ750,1483500860,108.0,0
shenxian1000004,华ADJ750,1483503280,112.0,0
shenxian1000004,华ADJ750,1483503970,113.0,0
shenxian1000004,华ADJ750,1483504700,65.0,0
shenxian1000004,华ADJ750,1483505480,77.0,0
shenxian1000004,华ADJ750,1483507460,103.0,0
shenxian1000004,华ADJ750,1483507888,37.0,0
shenxian1000004,华ADJ750,1483510550,67.0,0
shenxian1000004,华ADJ750,1483511433,129.0,1
shenxian1000004,华ADJ750,1483514237,77.0,0
shenxian1000004,华ADJ750,1483515680,78.0,0
shenxian1000004,华ADJ750,1483461440,94.0,0
shenxian1000004,华ADJ750,1483463490,64.0,0
shenxian1000004,华ADJ750,1483464760,67.0,0
shenxian1000004,华ADJ750,1483467000,88.0,0
shenxian1000004,华ADJ750,1483467200,114.0,0
shenxian1000004,华ADJ750,1483470150,61.0,0
shenxian1000004,华ADJ750,1483470210,68.0,0
shenxian1000004,华ADJ750,1483470770,62.0,0
shenxian1000004,华ADJ750,1483470800,79.0,0
shenxian1000004,华ADJ750,1483475710,111.0,0
shenxian1000004,华ADJ750,1483479530,115.0,0
