driverID,carPlateNumber,unix_Time,AverageSpeed,OverspeedIncident
haowei1000008,华A709GB,1483375590,97.0,0
haowei1000008,华A709GB,1483378050,114.0,0
haowei1000008,华A709GB,1483391710,117.0,0
haowei1000008,华A709GB,1484069880,89.0,0
haowei1000008,华A709GB,1484076410,66.0,0
haowei1000008,华A709GB,1484079896,120.0,0
haowei1000008,华A709GB,1484093959,120.0,0
haowei1000008,华A709GB,1483376410,70.0,0
haowei1000008,华A709GB,1483382080,68.0,0
haowei1000008,华A709GB,1484072310,71.0,0
haowei1000008,华A709GB,1484073980,107.0,0
haowei1000008,华A709GB,1484074720,69.0,0
haowei1000008,华A709GB,1484096930,92.0,0
haowei1000008,华A709GB,1484099280,86.0,0
haowei1000008,华A709GB,1483379630,133.0,0
haowei1000008,华A709GB,1484064290,123.0,0
haowei1000008,华A709GB,1484087020,70.5,0
haowei1000008,华A709GB,1484097017,145.0,1
haowei1000008,华A709GB,1484102560,127.0,0
haowei1000008,华A709GB,1483389266,134.0,0
haowei1000008,华A709GB,1484064340,73.0,0
haowei1000008,华A709GB,1484068160,66.0,0
haowei1000008,华A709GB,1484085450,72.0,0
haowei1000008,华A709GB,1484086270,102.0,0
haowei1000008,华A709GB,1484094810,85.5,0
haowei1000008,华A709GB,1484103250,74.0,0
haowei1000008,华A709GB,1483389248,95.0,0
haowei1000008,华A709GB,1484072860,96.0,0
haowei1000008,华A709GB,1484074217,122.0,1
haowei1000008,华A709GB,1484074630,86.0,0
haowei1000008,华A709GB,1484080610,65.0,0
haowei1000008,华A709GB,1484081244,111.0,0
haowei1000008,华A709GB,1484096200,69.0,0
haowei1000008,华A709GB,1483376370,69.0,0
haowei1000008,华A709GB,1483383790,101.0,0
haowei1000008,华A709GB,1483388770,93.0,0
haowei1000008,华A709GB,1483391769,126.5,1
haowei1000008,华A709GB,1484071080,70.0,0
haowei1000008,华A709GB,1484077860,98.0,0
haowei1000008,华A709GB,1484082030,84.0,0
haowei1000008,华A709GB,1484083110,137.0,0
haowei1000008,华A709GB,1484089850,104.0,0
haowei1000008,华A709GB,1484090460,75.0,0
haowei1000008,华A709GB,1484101880,75.0,0
haowei1000008,华A709GB,1483376600,70.0,0
haowei1000008,华A709GB,1483382060,82.0,0
haowei1000008,华A709GB,1483387210,116.0,0
haowei1000008,华A709GB,1484075160,75.0,0
haowei1000008,华A709GB,1484078840,60.0,0
haowei1000008,华A709GB,1484085457,120.0,0
haowei1000008,华A709GB,1484098910,117.0,0
haowei1000008,华A709GB,1484099410,94.0,0
haowei1000008,华A709GB,1484100810,117.0,0
haowei1000008,华A709GB,1484104910,78.0,0
haowei1000008,华A709GB,1484105170,64.0,0
haowei1000008,华A709GB,1483376720,102.0,0
haowei1000008,华A709GB,1483382780,104.0,0
haowei1000008,华A709GB,1483390430,118.0,0
haowei1000008,华A709GB,1484065760,85.0,0
haowei1000008,华A709GB,1484067980,140.0,0
haowei1000008,华A709GB,1484068918,115.0,0
haowei1000008,华A709GB,1484071780,75.0,0
haowei1000008,华A709GB,1484073026,124.0,1
haowei1000008,华A709GB,1484083180,77.0,0
haowei1000008,华A709GB,1484086100,99.0,0
haowei1000008,华A709GB,1484094880,123.0,0
haowei1000008,华A709GB,1483386740,71.0,0
