driverID,carPlateNumber,unix_Time,AverageSpeed,OverspeedIncident
panxian1000005,华AX542C,1483462860,114.0,0
panxian1000005,华AX542C,1483471808,120.0,0
panxian1000005,华AX542C,1483476630,127.0,0
panxian1000005,华AX542C,1483494240,118.0,0
panxian1000005,华AX542C,1484065640,118.0,0
panxian1000005,华AX542C,1484070516,120.0,0
panxian1000005,华AX542C,1484084520,78.0,0
panxian1000005,华AX542C,1483464850,90.0,0
panxian1000005,华AX542C,1483478809,128.0,1
panxian1000005,华AX542C,1483480650,64.0,0
panxian1000005,华AX542C,1483485910,64.0,0
panxian1000005,华AX542C,1483497480,70.0,0
panxian1000005,华AX542C,1483499980,100.0,0
panxian1000005,华AX542C,1483509890,118.0,0
panxian1000005,华AX542C,1484064330,97.0,0
panxian1000005,华AX542C,1484078980,118.0,0
panxian1000005,华AX542C,1484082860,149.0,0
panxian1000005,华AX542C,1484091725,137.0,1
panxian1000005,华AX542C,1483462390,98.0,0
panxian1000005,华AX542C,1483470384,87.0,0
panxian1000005,华AX542C,1483488990,71.0,0
panxian1000005,华AX542C,1484065610,100.0,0
panxian1000005,华AX542C,1484067680,94.0,0
panxian1000005,华AX542C,1484090890,62.0,0
panxian1000005,华AX542C,1483489481,124.0,1
panxian1000005,华AX542C,1483491010,60.0,0
panxian1000005,华AX542C,1483493359,124.66666666666667,1
panxian1000005,华AX542C,1483494410,82.0,0
panxian1000005,华AX542C,1483496180,81.0,0
panxian1000005,华AX542C,1483496390,64.0,0
panxian1000005,华AX542C,1483500950,73.0,0
panxian1000005,华AX542C,1483502710,82.0,0
panxian1000005,华AX542C,1483508577,116.0,0
panxian1000005,华AX542C,1484072010,81.0,0
panxian1000005,华AX542C,1484075010,91.0,0
panxian1000005,华AX542C,1484084270,78.0,0
panxian1000005,华AX542C,1484089058,129.0,1
panxian1000005,华AX542C,1484091150,110.0,0
panxian1000005,华AX542C,1484093670,118.0,0
panxian1000005,华AX542C,1483466150,66.0,0
panxian1000005,华AX542C,1483473740,85.0,0
panxian1000005,华AX542C,1483481030,89.0,0
panxian1000005,华AX542C,1483482030,83.0,0
panxian1000005,华AX542C,1483491700,103.0,0
panxian1000005,华AX542C,1483500170,65.0,0
panxian1000005,华AX542C,1484064930,80.0,0
panxian1000005,华AX542C,1484073510,66.0,0
panxian1000005,华AX542C,1484087010,112.0,0
panxian1000005,华AX542C,1484096613,148.0,1
panxian1000005,华AX542C,1483465829,120.0,0
panxian1000005,华AX542C,1483478920,102.0,0
panxian1000005,华AX542C,1483482100,86.0,0
panxian1000005,华AX542C,1483482700,4.0,0
panxian1000005,华AX542C,1483491240,67.0,0
panxian1000005,华AX542C,1483496320,76.0,0
panxian1000005,华AX542C,1483499380,70.0,0
panxian1000005,华AX542C,1483501283,64.0,0
panxian1000005,华AX542C,1483502310,112.0,0
panxian1000005,华AX542C,1484068880,106.0,0
panxian1000005,华AX542C,1484074670,102.0,0
panxian1000005,华AX542C,1484097560,115.0,0
panxian1000005,华AX542C,1483460810,73.0,0
panxian1000005,华AX542C,1483465584,120.0,0
panxian1000005,华AX542C,1483469700,149.0,0
panxian1000005,华AX542C,1483471660,95.0,0
panxian1000005,华AX542C,1483497550,137.0,0
panxian1000005,华AX542C,1484081300,71.0,0
panxian1000005,华AX542C,1484084860,142.0,0
panxian1000005,华AX542C,1484089090,81.0,0
panxian1000005,华AX542C,1483463160,126.0,0
panxian1000005,华AX542C,1483472460,111.0,0
panxian1000005,华AX542C,1483483260,121.0,0
panxian1000005,华AX542C,1483484820,64.0,0
panxian1000005,华AX542C,1483485160,86.0,0
panxian1000005,华AX542C,1483497800,89.0,0
panxian1000005,华AX542C,1484068140,72.0,0
panxian1000005,华AX542C,1484068280,63.0,0
panxian1000005,华AX542C,1484069057,120.0,0
panxian1000005,华AX542C,1484072627,91.0,0
panxian1000005,华AX542C,1484075900,76.0,0
panxian1000005,华AX542C,1484086218,88.0,0
panxian1000005,华AX542C,1484090030,75.0,0
panxian1000005,华AX542C,1484096760,145.0,0
panxian1000005,华AX542C,1483461320,107.0,0
panxian1000005,华AX542C,1483463837,121.0,1
panxian1000005,华AX542C,1483463870,65.0,0
panxian1000005,华AX542C,1483467873,84.0,0
panxian1000005,华AX542C,1483488787,101.0,0
panxian1000005,华AX542C,1483491380,80.0,0
panxian1000005,华AX542C,1483495840,103.0,0
panxian1000005,华AX542C,1483496174,120.0,0
panxian1000005,华AX542C,1483498720,86.0,0
panxian1000005,华AX542C,1483505030,67.0,0
panxian1000005,华AX542C,1484074730,146.0,0
panxian1000005,华AX542C,1484083070,112.0,0
panxian1000005,华AX542C,1484089360,137.0,0
panxian1000005,华AX542C,1484090600,76.0,0
panxian1000005,华AX542C,1483472402,120.0,1
panxian1000005,华AX542C,1483474000,119.0,0
panxian1000005,华AX542C,1483489950,65.0,0
panxian1000005,华AX542C,1483500380,146.0,0
panxian1000005,华AX542C,1484065310,118.0,0
panxian1000005,华AX542C,1484066010,88.0,0
panxian1000005,华AX542C,1484072860,107.0,0
panxian1000005,华AX542C,1484084203,136.0,0
panxian1000005,华AX542C,1484090070,87.0,0
panxian1000005,华AX542C,1483472620,72.0,0
panxian1000005,华AX542C,1483480110,93.0,0
panxian1000005,华AX542C,1483487040,110.0,0
panxian1000005,华AX542C,1483496800,87.0,0
panxian1000005,华AX542C,1483497260,139.0,0
panxian1000005,华AX542C,1483507040,112.0,0
panxian1000005,华AX542C,1484064990,72.0,0
panxian1000005,华AX542C,1484070052,134.5,1
panxian1000005,华AX542C,1484071414,95.0,0
panxian1000005,华AX542C,1484074440,87.0,0
panxian1000005,华AX542C,1484077900,88.0,0
panxian1000005,华AX542C,1484084100,70.0,0
panxian1000005,华AX542C,1483489291,9.0,0
panxian1000005,华AX542C,1483490120,103.0,0
panxian1000005,华AX542C,1483508520,134.0,0
panxian1000005,华AX542C,1484066588,124.0,1
panxian1000005,华AX542C,1484071393,148.0,1
panxian1000005,华AX542C,1484080820,60.0,0
panxian1000005,华AX542C,1484083120,119.0,0
panxian1000005,华AX542C,1484083930,117.0,0
panxian1000005,华AX542C,1484084242,120.0,0
panxian1000005,华AX542C,1484085970,74.0,0
panxian1000005,华AX542C,1483470560,65.0,0
panxian1000005,华AX542C,1483472980,113.0,0
panxian1000005,华AX542C,1483475280,102.0,0
panxian1000005,华AX542C,1483475410,88.0,0
panxian1000005,华AX542C,1483492350,99.0,0
panxian1000005,华AX542C,1483492970,116.0,0
panxian1000005,华AX542C,1483500114,123.0,1
panxian1000005,华AX542C,1484073430,65.0,0
panxian1000005,华AX542C,1484091740,128.0,0
panxian1000005,华AX542C,1483459770,99.0,0
panxian1000005,华AX542C,1483461830,85.0,0
panxian1000005,华AX542C,1483467010,74.0,0
panxian1000005,华AX542C,1483471130,103.0,0
panxian1000005,华AX542C,1483473237,106.0,0
panxian1000005,华AX542C,1483492060,88.0,0
panxian1000005,华AX542C,1483509350,60.0,0
panxian1000005,华AX542C,1484068260,93.0,0
panxian1000005,华AX542C,1484073460,61.0,0
panxian1000005,华AX542C,1484097590,73.0,0
panxian1000005,华AX542C,1483470820,101.0,0
panxian1000005,华AX542C,1483473870,74.0,0
panxian1000005,华AX542C,1483486290,80.0,0
panxian1000005,华AX542C,1483492380,117.0,0
panxian1000005,华AX542C,1483500210,77.0,0
panxian1000005,华AX542C,1484066360,94.0,0
panxian1000005,华AX542C,1484066450,99.0,0
panxian1000005,华AX542C,1484070480,72.0,0
panxian1000005,华AX542C,1484071210,104.0,0
panxian1000005,华AX542C,1484076304,120.0,0
panxian1000005,华AX542C,1484086338,147.0,1
panxian1000005,华AX542C,1484096060,99.0,0
panxian1000005,华AX542C,1484096110,75.0,0
panxian1000005,华AX542C,1484096660,74.0,0
panxian1000005,华AX542C,1483468560,99.0,0
panxian1000005,华AX542C,1483469220,68.0,0
panxian1000005,华AX542C,1483481040,64.0,0
panxian1000005,华AX542C,1483481390,87.0,0
panxian1000005,华AX542C,1483484880,79.0,0
panxian1000005,华AX542C,1483487890,69.0,0
panxian1000005,华AX542C,1483492144,96.0,0
panxian1000005,华AX542C,1483495910,98.0,0
panxian1000005,华AX542C,1483497639,0.0,0
panxian1000005,华AX542C,1483509230,116.0,0
panxian1000005,华AX542C,1484072509,105.66666666666667,1
panxian1000005,华AX542C,1484073230,98.0,1
panxian1000005,华AX542C,1484079870,76.0,0
panxian1000005,华AX542C,1484080310,121.0,0
panxian1000005,华AX542C,1484089620,70.0,0
panxian1000005,华AX542C,1484092720,141.0,0
panxian1000005,华AX542C,1483459634,143.0,1
panxian1000005,华AX542C,1483462610,87.0,0
panxian1000005,华AX542C,1483466940,119.0,0
panxian1000005,华AX542C,1483470302,92.0,0
panxian1000005,华AX542C,1483486730,87.0,0
panxian1000005,华AX542C,1483487130,78.0,0
panxian1000005,华AX542C,1483490630,90.0,0
panxian1000005,华AX542C,1483507700,136.0,0
panxian1000005,华AX542C,1484071340,116.0,1
panxian1000005,华AX542C,1484077920,96.0,0
panxian1000005,华AX542C,1483461560,61.0,0
panxian1000005,华AX542C,1483464680,104.0,0
panxian1000005,华AX542C,1483478949,9.0,0
panxian1000005,华AX542C,1483490180,67.0,0
panxian1000005,华AX542C,1483509990,80.0,0
panxian1000005,华AX542C,1484081290,118.0,0
panxian1000005,华AX542C,1483461600,105.0,0
