driverID,carPlateNumber,unix_Time,AverageSpeed,OverspeedIncident
xiezhi1000006,华A6CU11,1483468130,103.0,0
xiezhi1000006,华A6CU11,1483480970,107.0,0
xiezhi1000006,华A6CU11,1483484911,140.0,1
xiezhi1000006,华A6CU11,1483501351,83.0,0
xiezhi1000006,华A6CU11,1483502550,83.0,0
xiezhi1000006,华A6CU11,1483508940,113.0,0
xiezhi1000006,华A6CU11,1484067541,138.0,1
xiezhi1000006,华A6CU11,1484072820,107.0,0
xiezhi1000006,华A6CU11,1484076640,73.0,0
xiezhi1000006,华A6CU11,1484081330,144.0,0
xiezhi1000006,华A6CU11,1484085190,69.0,0
xiezhi1000006,华A6CU11,1484087250,141.0,0
xiezhi1000006,华A6CU11,1484092220,100.0,0
xiezhi1000006,华A6CU11,1484098337,146.0,0
xiezhi1000006,华A6CU11,1484101320,128.0,0
xiezhi1000006,华A6CU11,1484108110,76.0,0
xiezhi1000006,华A6CU11,1484109520,67.0,0
xiezhi1000006,华A6CU11,1484113540,111.0,0
xiezhi1000006,华A6CU11,1483474180,66.0,0
xiezhi1000006,华A6CU11,1483480140,106.0,0
xiezhi1000006,华A6CU11,1483480360,75.0,0
xiezhi1000006,华A6CU11,1483494870,81.0,0
xiezhi1000006,华A6CU11,1483503590,61.0,0
xiezhi1000006,华A6CU11,1483505520,100.0,0
xiezhi1000006,华A6CU11,1484078580,85.0,0
xiezhi1000006,华A6CU11,1484078890,82.0,0
xiezhi1000006,华A6CU11,1484085490,65.0,0
xiezhi1000006,华A6CU11,1484086170,81.0,0
xiezhi1000006,华A6CU11,1484095770,108.0,0
xiezhi1000006,华A6CU11,1484099120,102.0,0
xiezhi1000006,华A6CU11,1484104010,99.0,0
xiezhi1000006,华A6CU11,1484111598,132.0,1
xiezhi1000006,华A6CU11,1484115060,68.0,0
xiezhi1000006,华A6CU11,1483470660,109.0,0
xiezhi1000006,华A6CU11,1483479300,99.0,0
xiezhi1000006,华A6CU11,1483494800,71.0,0
xiezhi1000006,华A6CU11,1483495180,108.0,0
xiezhi1000006,华A6CU11,1483507140,115.0,0
xiezhi1000006,华A6CU11,1483507730,91.0,0
xiezhi1000006,华A6CU11,1483507997,141.0,1
xiezhi1000006,华A6CU11,1483508510,65.0,0
xiezhi1000006,华A6CU11,1484110804,120.0,1
xiezhi1000006,华A6CU11,1483460100,81.0,0
xiezhi1000006,华A6CU11,1483468090,78.0,0
xiezhi1000006,华A6CU11,1483472480,60.0,0
xiezhi1000006,华A6CU11,1483477760,107.0,0
xiezhi1000006,华A6CU11,1483480370,63.0,0
xiezhi1000006,华A6CU11,1483491550,102.0,0
xiezhi1000006,华A6CU11,1483495032,120.0,0
xiezhi1000006,华A6CU11,1483497390,118.0,0
xiezhi1000006,华A6CU11,1484070390,95.0,0
xiezhi1000006,华A6CU11,1484075070,86.0,0
xiezhi1000006,华A6CU11,1484081955,140.0,1
xiezhi1000006,华A6CU11,1484094590,133.0,0
xiezhi1000006,华A6CU11,1484098620,97.0,0
xiezhi1000006,华A6CU11,1484100507,80.0,0
xiezhi1000006,华A6CU11,1484105046,96.0,0
xiezhi1000006,华A6CU11,1484107860,99.0,0
xiezhi1000006,华A6CU11,1483461900,107.0,0
xiezhi1000006,华A6CU11,1483477440,135.0,0
