driverID,carPlateNumber,unix_Time,AverageSpeed,OverspeedIncident
zouan1000007,华A58M83,1483469140,73.0,0
zouan1000007,华A58M83,1483478939,8.0,0
zouan1000007,华A58M83,1483479208,73.0,0
zouan1000007,华A58M83,1483479740,113.0,0
zouan1000007,华A58M83,1483487990,102.0,0
zouan1000007,华A58M83,1483488650,71.0,0
zouan1000007,华A58M83,1483491420,146.0,0
zouan1000007,华A58M83,1483491960,62.0,0
zouan1000007,华A58M83,1483497590,100.0,0
zouan1000007,华A58M83,1483495760,82.0,0
zouan1000007,华A58M83,1483485560,119.0,0
zouan1000007,华A58M83,1483486980,67.0,0
zouan1000007,华A58M83,1483489000,122.0,0
zouan1000007,华A58M83,1483492210,84.0,0
zouan1000007,华A58M83,1483460950,115.0,0
zouan1000007,华A58M83,1483462567,146.0,1
zouan1000007,华A58M83,1483491949,114.5,0
zouan1000007,华A58M83,1483492470,91.0,0
zouan1000007,华A58M83,1483496020,85.0,0
zouan1000007,华A58M83,1483460949,120.0,0
zouan1000007,华A58M83,1483465290,82.0,0
zouan1000007,华A58M83,1483470570,90.0,0
zouan1000007,华A58M83,1483474190,79.0,0
zouan1000007,华A58M83,1483476291,76.0,0
zouan1000007,华A58M83,1483482830,65.0,0
zouan1000007,华A58M83,1483492410,94.0,0
zouan1000007,华A58M83,1483492270,89.0,0
zouan1000007,华A58M83,1483493892,133.0,1
zouan1000007,华A58M83,1483497080,63.0,0
zouan1000007,华A58M83,1483462900,98.0,0
zouan1000007,华A58M83,1483489440,110.0,0
zouan1000007,华A58M83,1483491500,119.0,0
zouan1000007,华A58M83,1483473150,142.0,0
zouan1000007,华A58M83,1483496580,79.0,0
zouan1000007,华A58M83,1483473850,87.0,0
zouan1000007,华A58M83,1483479270,117.0,0
zouan1000007,华A58M83,1483475150,71.0,0
zouan1000007,华A58M83,1483481890,106.0,0
zouan1000007,华A58M83,1483496720,107.0,0
zouan1000007,华A58M83,1483499610,77.0,0
zouan1000007,华A58M83,1483463720,74.0,0
zouan1000007,华A58M83,1483465970,95.0,0
zouan1000007,华A58M83,1483468170,113.0,0
zouan1000007,华A58M83,1483468990,101.0,0
zouan1000007,华A58M83,1483487450,111.0,0
zouan1000007,华A58M83,1483490520,71.0,0
zouan1000007,华A58M83,1483464320,134.0,0
zouan1000007,华A58M83,1483471290,115.0,0
zouan1000007,华A58M83,1483481070,92.0,0
zouan1000007,华A58M83,1483469350,115.0,0
zouan1000007,华A58M83,1483459510,129.0,0
zouan1000007,华A58M83,1483463960,105.0,0
zouan1000007,华A58M83,1483477906,125.0,0
zouan1000007,华A58M83,1483486418,132.0,1
zouan1000007,华A58M83,1483486960,105.0,0
zouan1000007,华A58M83,1483462090,62.0,0
zouan1000007,华A58M83,1483469470,83.0,0
zouan1000007,华A58M83,1483489800,145.0,0
zouan1000007,华A58M83,1483498880,79.0,0
zouan1000007,华A58M83,1483477310,69.0,0
zouan1000007,华A58M83,1483492310,110.0,0
zouan1000007,华A58M83,1483498460,117.0,0
zouan1000007,华A58M83,1483460522,114.0,0
zouan1000007,华A58M83,1483461215,120.0,0
zouan1000007,华A58M83,1483466090,100.0,0
zouan1000007,华A58M83,1483467993,120.0,0
zouan1000007,华A58M83,1483478900,87.0,0
zouan1000007,华A58M83,1483488890,99.0,0
zouan1000007,华A58M83,1483495830,112.0,0
zouan1000007,华A58M83,1483460610,61.0,0
zouan1000007,华A58M83,1483479000,69.0,0
zouan1000007,华A58M83,1483486670,83.0,0
zouan1000007,华A58M83,1483460189,128.5,1
zouan1000007,华A58M83,1483475030,86.0,0
zouan1000007,华A58M83,1483488370,119.0,0
zouan1000007,华A58M83,1483495860,64.0,0
zouan1000007,华A58M83,1483461079,147.0,1
zouan1000007,华A58M83,1483463900,65.0,0
zouan1000007,华A58M83,1483470990,85.0,0
zouan1000007,华A58M83,1483475250,107.0,0
zouan1000007,华A58M83,1483480756,114.0,0
zouan1000007,华A58M83,1483482147,120.0,0
zouan1000007,华A58M83,1483490980,114.0,0
zouan1000007,华A58M83,1483491340,112.0,0
zouan1000007,华A58M83,1483497501,147.0,1
zouan1000007,华A58M83,1483468070,98.0,0
zouan1000007,华A58M83,1483469610,116.0,0
zouan1000007,华A58M83,1483480010,112.0,0
zouan1000007,华A58M83,1483485227,124.0,1
zouan1000007,华A58M83,1483485340,119.0,0
zouan1000007,华A58M83,1483489080,66.0,0
zouan1000007,华A58M83,1483461472,78.0,0
zouan1000007,华A58M83,1483462419,120.0,0
zouan1000007,华A58M83,1483468300,61.0,0
zouan1000007,华A58M83,1483480640,79.0,0
zouan1000007,华A58M83,1483482260,64.0,0
zouan1000007,华A58M83,1483485266,112.0,0
zouan1000007,华A58M83,1483487280,110.0,0
zouan1000007,华A58M83,1483490860,61.0,0
zouan1000007,华A58M83,1483477390,86.0,0
zouan1000007,华A58M83,1483494120,96.0,0
zouan1000007,华A58M83,1483498770,80.0,0
zouan1000007,华A58M83,1483460450,63.0,0
zouan1000007,华A58M83,1483466450,112.0,0
zouan1000007,华A58M83,1483469490,115.0,0
zouan1000007,华A58M83,1483474849,131.0,1
zouan1000007,华A58M83,1483492650,74.0,0
zouan1000007,华A58M83,1483493950,91.0,0
zouan1000007,华A58M83,1483494940,104.0,0
zouan1000007,华A58M83,1483497540,93.0,0
zouan1000007,华A58M83,1483490542,120.0,0
zouan1000007,华A58M83,1483495870,107.0,0
zouan1000007,华A58M83,1483499500,93.0,0
zouan1000007,华A58M83,1484035210,149.0,0
zouan1000007,华A58M83,1483461250,89.0,0
zouan1000007,华A58M83,1483476110,126.0,0
zouan1000007,华A58M83,1483482150,63.0,0
zouan1000007,华A58M83,1483487687,120.0,0
zouan1000007,华A58M83,1483487690,113.0,0
zouan1000007,华A58M83,1483459517,120.0,0
zouan1000007,华A58M83,1483460816,139.0,1
zouan1000007,华A58M83,1483469880,119.0,0
zouan1000007,华A58M83,1483495710,60.0,0
zouan1000007,华A58M83,1483480610,126.0,1
zouan1000007,华A58M83,1483481270,80.0,0
zouan1000007,华A58M83,1483490000,117.0,0
zouan1000007,华A58M83,1483493540,82.0,0
zouan1000007,华A58M83,1483496510,112.0,0
zouan1000007,华A58M83,1483461216,122.0,1
zouan1000007,华A58M83,1483462130,60.0,0
zouan1000007,华A58M83,1483462238,120.0,0
zouan1000007,华A58M83,1483469190,80.0,0
zouan1000007,华A58M83,1483469860,113.0,0
zouan1000007,华A58M83,1483485510,84.0,0
zouan1000007,华A58M83,1483487678,141.0,1
zouan1000007,华A58M83,1483491840,119.0,0
zouan1000007,华A58M83,1483492739,82.33333333333333,1
zouan1000007,华A58M83,1483496110,90.0,0
zouan1000007,华A58M83,1483462060,0.0,0
zouan1000007,华A58M83,1483483700,61.0,0
zouan1000007,华A58M83,1483490090,80.0,0
zouan1000007,华A58M83,1483490600,74.0,0
zouan1000007,华A58M83,1483493843,120.0,0
zouan1000007,华A58M83,1483497620,62.0,0
zouan1000007,华A58M83,1483464190,79.0,0
zouan1000007,华A58M83,1483478427,130.5,1
zouan1000007,华A58M83,1483479150,97.0,0
zouan1000007,华A58M83,1483481930,98.0,0
zouan1000007,华A58M83,1483483430,88.0,0
zouan1000007,华A58M83,1483485228,120.0,0
zouan1000007,华A58M83,1483488980,138.0,0
zouan1000007,华A58M83,1483499490,77.0,0
zouan1000007,华A58M83,1483464310,91.0,0
zouan1000007,华A58M83,1483471707,129.0,1
zouan1000007,华A58M83,1483483900,87.0,0
zouan1000007,华A58M83,1483486788,89.0,0
zouan1000007,华A58M83,1483488220,93.0,0
zouan1000007,华A58M83,1483494010,115.0,0
zouan1000007,华A58M83,1483499660,117.0,0
zouan1000007,华A58M83,1483468830,113.0,0
zouan1000007,华A58M83,1483471930,75.0,0
zouan1000007,华A58M83,1483483190,64.0,0
zouan1000007,华A58M83,1483491003,122.0,1
zouan1000007,华A58M83,1483491040,67.0,0
zouan1000007,华A58M83,1483494260,111.0,0
zouan1000007,华A58M83,1483482997,8.0,0
zouan1000007,华A58M83,1483484040,67.0,0
zouan1000007,华A58M83,1483495489,120.0,0
zouan1000007,华A58M83,1483497720,146.0,0
zouan1000007,华A58M83,1483459870,104.0,0
zouan1000007,华A58M83,1483461654,6.0,0
zouan1000007,华A58M83,1483470340,110.0,0
zouan1000007,华A58M83,1483493050,77.0,0
zouan1000007,华A58M83,1483499260,118.0,0
zouan1000007,华A58M83,1483499340,85.0,0
zouan1000007,华A58M83,1483476980,104.0,0
zouan1000007,华A58M83,1483478153,124.0,1
zouan1000007,华A58M83,1483481284,86.0,0
zouan1000007,华A58M83,1483486410,93.0,0
zouan1000007,华A58M83,1483487248,93.0,0
zouan1000007,华A58M83,1483489040,63.0,0
zouan1000007,华A58M83,1483463920,95.0,0
zouan1000007,华A58M83,1483464740,93.0,0
zouan1000007,华A58M83,1483470278,102.5,0
zouan1000007,华A58M83,1483474780,103.0,0
zouan1000007,华A58M83,1483475450,63.0,0
zouan1000007,华A58M83,1483484446,120.0,0
zouan1000007,华A58M83,1483486020,76.0,0
zouan1000007,华A58M83,1483479110,69.0,0
zouan1000007,华A58M83,1483486850,85.0,0
zouan1000007,华A58M83,1483487735,120.0,0
zouan1000007,华A58M83,1483492123,113.0,0
zouan1000007,华A58M83,1483469139,120.0,0
zouan1000007,华A58M83,1483474570,97.0,0
zouan1000007,华A58M83,1483477918,120.0,0
zouan1000007,华A58M83,1483478440,97.0,0
zouan1000007,华A58M83,1483467410,115.0,0
zouan1000007,华A58M83,1483471296,72.0,0
zouan1000007,华A58M83,1483474210,61.0,0
zouan1000007,华A58M83,1483488270,62.0,0
zouan1000007,华A58M83,1483489510,73.0,0
zouan1000007,华A58M83,1483493080,104.0,0
zouan1000007,华A58M83,1483459900,95.0,0
zouan1000007,华A58M83,1483463140,83.0,0
zouan1000007,华A58M83,1483467630,83.0,0
zouan1000007,华A58M83,1483489463,75.0,0
zouan1000007,华A58M83,1483491610,69.0,0
zouan1000007,华A58M83,1483492740,103.0,0
zouan1000007,华A58M83,1483468220,72.0,0
zouan1000007,华A58M83,1483479570,113.0,0
zouan1000007,华A58M83,1483484228,85.0,0
zouan1000007,华A58M83,1483497270,105.0,0
zouan1000007,华A58M83,1483475180,146.0,0
zouan1000007,华A58M83,1483479910,107.0,0
zouan1000007,华A58M83,1483490810,94.0,0
zouan1000007,华A58M83,1483493966,97.0,0
zouan1000007,华A58M83,1483499680,101.0,0
zouan1000007,华A58M83,1483466560,99.0,0
zouan1000007,华A58M83,1483466857,120.0,0
zouan1000007,华A58M83,1483470210,141.0,0
zouan1000007,华A58M83,1483471900,97.0,0
zouan1000007,华A58M83,1483473270,66.0,0
zouan1000007,华A58M83,1483491780,85.0,0
zouan1000007,华A58M83,1483491947,136.0,1
zouan1000007,华A58M83,1483494840,106.0,0
zouan1000007,华A58M83,1483498130,96.0,0
zouan1000007,华A58M83,1483459990,113.0,0
zouan1000007,华A58M83,1483467290,101.0,0
zouan1000007,华A58M83,1483481300,100.0,0
zouan1000007,华A58M83,1483485070,137.0,0
zouan1000007,华A58M83,1483485870,77.0,0
zouan1000007,华A58M83,1483493340,99.0,0
zouan1000007,华A58M83,1483474410,97.0,0
zouan1000007,华A58M83,1483476270,120.0,0
zouan1000007,华A58M83,1483485090,110.0,0
zouan1000007,华A58M83,1483499870,77.0,0
zouan1000007,华A58M83,1483475055,111.0,0
zouan1000007,华A58M83,1483475130,76.0,0
zouan1000007,华A58M83,1483477686,120.0,0
zouan1000007,华A58M83,1483477690,115.0,0
zouan1000007,华A58M83,1483486560,83.0,0
zouan1000007,华A58M83,1483499780,82.0,0
zouan1000007,华A58M83,1483460200,80.0,0
zouan1000007,华A58M83,1483462350,84.0,0
zouan1000007,华A58M83,1483463310,109.0,0
zouan1000007,华A58M83,1483477000,109.0,0
zouan1000007,华A58M83,1483478387,120.0,0
zouan1000007,华A58M83,1483491022,120.0,0
zouan1000007,华A58M83,1483492500,82.0,0
zouan1000007,华A58M83,1483498990,119.0,0
zouan1000007,华A58M83,1483461350,98.0,0
zouan1000007,华A58M83,1483472750,72.0,0
zouan1000007,华A58M83,1483477590,66.0,0
zouan1000007,华A58M83,1483484740,63.0,0
zouan1000007,华A58M83,1483485980,103.0,0
zouan1000007,华A58M83,1483493330,68.0,0
zouan1000007,华A58M83,1483494520,106.0,0
zouan1000007,华A58M83,1483495724,120.0,0
zouan1000007,华A58M83,1484035400,140.0,0
zouan1000007,华A58M83,1483461094,120.0,0
zouan1000007,华A58M83,1483462448,120.0,0
zouan1000007,华A58M83,1483465200,87.0,0
zouan1000007,华A58M83,1483485890,66.0,0
zouan1000007,华A58M83,1483488720,96.0,0
zouan1000007,华A58M83,1483462520,107.0,0
zouan1000007,华A58M83,1483475680,116.0,0
zouan1000007,华A58M83,1483486640,72.0,0
zouan1000007,华A58M83,1484035323,70.0,0
zouan1000007,华A58M83,1483461210,144.0,0
zouan1000007,华A58M83,1483462510,82.0,0
zouan1000007,华A58M83,1483468470,102.0,0
zouan1000007,华A58M83,1483472860,98.0,0
zouan1000007,华A58M83,1483486650,86.0,0
zouan1000007,华A58M83,1483497530,130.0,0
zouan1000007,华A58M83,1483498050,63.0,0
zouan1000007,华A58M83,1483464900,108.0,0
zouan1000007,华A58M83,1483470710,97.0,0
zouan1000007,华A58M83,1483484100,78.0,0
zouan1000007,华A58M83,1483487590,113.0,0
zouan1000007,华A58M83,1483487890,88.0,0
zouan1000007,华A58M83,1483487940,143.0,0
zouan1000007,华A58M83,1483463370,116.0,0
zouan1000007,华A58M83,1483468050,81.0,0
zouan1000007,华A58M83,1483468157,148.0,1
zouan1000007,华A58M83,1483469800,72.0,0
zouan1000007,华A58M83,1483470790,75.0,0
zouan1000007,华A58M83,1483473370,111.0,0
zouan1000007,华A58M83,1483473780,72.0,0
zouan1000007,华A58M83,1483475420,71.0,0
zouan1000007,华A58M83,1483482840,69.0,0
zouan1000007,华A58M83,1483484710,101.0,0
zouan1000007,华A58M83,1483488440,99.0,0
zouan1000007,华A58M83,1483492240,117.0,0
zouan1000007,华A58M83,1483493130,94.0,0
zouan1000007,华A58M83,1483494240,89.0,0
zouan1000007,华A58M83,1483467020,123.0,0
zouan1000007,华A58M83,1483492230,82.0,0
zouan1000007,华A58M83,1483492300,68.0,0
zouan1000007,华A58M83,1483496360,94.0,0
zouan1000007,华A58M83,1483468750,78.0,0
zouan1000007,华A58M83,1483479675,91.0,0
zouan1000007,华A58M83,1483480100,109.0,0
zouan1000007,华A58M83,1483485780,93.0,0
zouan1000007,华A58M83,1483460801,111.0,0
zouan1000007,华A58M83,1483491390,67.0,0
zouan1000007,华A58M83,1483465618,128.0,1
zouan1000007,华A58M83,1483481910,108.0,0
zouan1000007,华A58M83,1483488546,129.0,1
zouan1000007,华A58M83,1483499590,78.0,0
zouan1000007,华A58M83,1483495130,116.0,0
zouan1000007,华A58M83,1483475760,90.0,0
zouan1000007,华A58M83,1483475950,69.0,0
zouan1000007,华A58M83,1483483520,102.0,0
zouan1000007,华A58M83,1483487570,117.0,0
zouan1000007,华A58M83,1483489150,111.0,0
zouan1000007,华A58M83,1483489280,101.0,0
zouan1000007,华A58M83,1483472390,113.0,0
zouan1000007,华A58M83,1483480753,130.0,1
zouan1000007,华A58M83,1483462680,87.0,0
zouan1000007,华A58M83,1483474513,75.0,0
zouan1000007,华A58M83,1483475260,116.0,0
zouan1000007,华A58M83,1483476600,64.0,0
zouan1000007,华A58M83,1483481770,117.0,0
zouan1000007,华A58M83,1483488800,67.0,0
zouan1000007,华A58M83,1483464530,119.0,0
zouan1000007,华A58M83,1483469570,99.0,0
zouan1000007,华A58M83,1483472700,79.0,0
zouan1000007,华A58M83,1483487136,124.0,1
zouan1000007,华A58M83,1483494320,115.0,0
zouan1000007,华A58M83,1483475830,72.0,0
zouan1000007,华A58M83,1483484790,82.0,0
zouan1000007,华A58M83,1483494445,124.0,1
zouan1000007,华A58M83,1483475610,116.0,0
zouan1000007,华A58M83,1483499520,73.0,0
zouan1000007,华A58M83,1484035280,74.0,0
zouan1000007,华A58M83,1483463760,103.0,0
zouan1000007,华A58M83,1483473900,147.0,0
zouan1000007,华A58M83,1483481750,98.0,0
zouan1000007,华A58M83,1483497950,90.0,0
zouan1000007,华A58M83,1483499360,107.0,0
zouan1000007,华A58M83,1483468620,76.0,0
zouan1000007,华A58M83,1483468910,113.0,0
zouan1000007,华A58M83,1483488670,80.0,0
zouan1000007,华A58M83,1483459520,98.0,0
zouan1000007,华A58M83,1483461318,121.5,1
zouan1000007,华A58M83,1483466760,91.0,0
zouan1000007,华A58M83,1483474600,85.0,0
zouan1000007,华A58M83,1483491939,132.0,1
zouan1000007,华A58M83,1483495149,84.5,1
zouan1000007,华A58M83,1483499410,132.0,0
zouan1000007,华A58M83,1483497623,11.0,0
zouan1000007,华A58M83,1483480710,99.0,0
zouan1000007,华A58M83,1483469110,111.0,0
zouan1000007,华A58M83,1483476280,129.0,0
zouan1000007,华A58M83,1483489930,108.0,0
zouan1000007,华A58M83,1483480793,136.0,1
zouan1000007,华A58M83,1483487617,115.0,0
zouan1000007,华A58M83,1483487900,66.0,0
zouan1000007,华A58M83,1483491076,134.0,0
zouan1000007,华A58M83,1483494400,94.0,0
zouan1000007,华A58M83,1483495610,101.0,0
zouan1000007,华A58M83,1483497420,73.0,0
zouan1000007,华A58M83,1483471430,128.0,0
zouan1000007,华A58M83,1483480650,86.0,0
zouan1000007,华A58M83,1483482310,140.0,0
zouan1000007,华A58M83,1483498987,62.0,0
zouan1000007,华A58M83,1483460000,73.0,0
zouan1000007,华A58M83,1483465130,79.0,0
zouan1000007,华A58M83,1483481870,92.0,0
zouan1000007,华A58M83,1483483240,98.0,0
zouan1000007,华A58M83,1483483760,99.0,0
zouan1000007,华A58M83,1483467470,94.0,0
zouan1000007,华A58M83,1483471220,77.0,0
zouan1000007,华A58M83,1483486190,84.0,0
zouan1000007,华A58M83,1483490150,86.0,0
zouan1000007,华A58M83,1483490642,132.0,1
zouan1000007,华A58M83,1483497159,87.0,0
zouan1000007,华A58M83,1483460994,120.0,0
zouan1000007,华A58M83,1483464930,111.0,0
zouan1000007,华A58M83,1483471145,90.0,0
zouan1000007,华A58M83,1483482435,70.0,0
zouan1000007,华A58M83,1483486010,106.0,0
zouan1000007,华A58M83,1483486230,83.0,0
zouan1000007,华A58M83,1483497948,75.0,0
zouan1000007,华A58M83,1483498210,89.0,0
zouan1000007,华A58M83,1483461054,120.0,0
zouan1000007,华A58M83,1483470223,123.0,0
zouan1000007,华A58M83,1483473090,106.0,0
zouan1000007,华A58M83,1483476990,89.0,0
zouan1000007,华A58M83,1483481950,83.0,0
zouan1000007,华A58M83,1483486926,120.5,1
zouan1000007,华A58M83,1483490750,114.0,0
zouan1000007,华A58M83,1483459720,70.0,0
zouan1000007,华A58M83,1483477490,79.0,0
zouan1000007,华A58M83,1483489131,132.0,1
zouan1000007,华A58M83,1483490420,92.0,0
zouan1000007,华A58M83,1483490530,145.0,0
zouan1000007,华A58M83,1483490930,79.0,0
zouan1000007,华A58M83,1483463010,103.0,0
zouan1000007,华A58M83,1483471970,83.0,0
zouan1000007,华A58M83,1483472170,74.0,0
zouan1000007,华A58M83,1483478004,68.0,0
zouan1000007,华A58M83,1483480210,82.0,0
zouan1000007,华A58M83,1483481980,67.0,0
zouan1000007,华A58M83,1483488130,82.0,0
