driverID,carPlateNumber,unix_Time,AverageSpeed,OverspeedIncident
hanhui1000002,华AZI419,1483377810,85.0,0
hanhui1000002,华AZI419,1483379820,60.0,0
hanhui1000002,华AZI419,1483382879,141.0,1
hanhui1000002,华AZI419,1483384300,103.0,0
hanhui1000002,华AZI419,1483389037,114.0,0
hanhui1000002,华AZI419,1483393060,86.0,0
hanhui1000002,华AZI419,1483395700,104.0,0
hanhui1000002,华AZI419,1484070038,120.0,0
hanhui1000002,华AZI419,1484081130,77.0,0
hanhui1000002,华AZI419,1484082080,84.0,0
hanhui1000002,华AZI419,1484086120,108.0,0
hanhui1000002,华AZI419,1484088020,66.0,0
hanhui1000002,华AZI419,1484089970,81.0,0
hanhui1000002,华AZI419,1484090640,103.0,0
hanhui1000002,华AZI419,1484103290,109.0,0
hanhui1000002,华AZI419,1484108350,65.0,0
hanhui1000002,华AZI419,1484116020,87.0,0
hanhui1000002,华AZI419,1484119680,147.0,0
hanhui1000002,华AZI419,1483377980,105.0,0
hanhui1000002,华AZI419,1483385440,116.0,1
hanhui1000002,华AZI419,1483397062,124.0,1
hanhui1000002,华AZI419,1483398030,104.0,0
hanhui1000002,华AZI419,1483402230,114.0,0
hanhui1000002,华AZI419,1483404230,114.0,0
hanhui1000002,华AZI419,1484066330,85.0,0
hanhui1000002,华AZI419,1484068910,94.0,0
hanhui1000002,华AZI419,1484069130,116.0,0
hanhui1000002,华AZI419,1484074630,145.0,0
hanhui1000002,华AZI419,1484084330,111.0,0
hanhui1000002,华AZI419,1484086250,64.0,0
hanhui1000002,华AZI419,1484093480,105.0,0
hanhui1000002,华AZI419,1484098590,108.0,0
hanhui1000002,华AZI419,1484104234,83.0,0
hanhui1000002,华AZI419,1484114249,106.0,0
hanhui1000002,华AZI419,1484117430,116.0,0
hanhui1000002,华AZI419,1484117920,87.0,0
hanhui1000002,华AZI419,1483391795,120.0,0
hanhui1000002,华AZI419,1483393770,75.0,0
hanhui1000002,华AZI419,1483395490,140.0,0
hanhui1000002,华AZI419,1483402155,7.0,0
hanhui1000002,华AZI419,1484068790,88.0,0
hanhui1000002,华AZI419,1484069600,76.0,0
hanhui1000002,华AZI419,1484078730,103.0,0
hanhui1000002,华AZI419,1484082580,104.0,0
hanhui1000002,华AZI419,1484087390,72.0,0
hanhui1000002,华AZI419,1484096980,76.0,0
hanhui1000002,华AZI419,1484103950,102.0,0
hanhui1000002,华AZI419,1484112960,117.0,0
hanhui1000002,华AZI419,1484114000,103.0,0
hanhui1000002,华AZI419,1484119060,88.0,0
hanhui1000002,华AZI419,1483377750,64.0,0
hanhui1000002,华AZI419,1483389415,134.5,1
hanhui1000002,华AZI419,1484067175,120.0,0
hanhui1000002,华AZI419,1484067530,112.0,0
hanhui1000002,华AZI419,1484070680,107.0,0
hanhui1000002,华AZI419,1484092880,73.0,0
hanhui1000002,华AZI419,1484095290,75.0,0
hanhui1000002,华AZI419,1484100397,120.0,0
hanhui1000002,华AZI419,1484115000,117.0,0
hanhui1000002,华AZI419,1484119149,75.0,0
hanhui1000002,华AZI419,1483397740,74.0,0
hanhui1000002,华AZI419,1483398210,98.0,0
hanhui1000002,华AZI419,1484073360,75.0,0
hanhui1000002,华AZI419,1484075960,68.0,0
hanhui1000002,华AZI419,1484079768,120.0,0
hanhui1000002,华AZI419,1484083252,129.0,1
hanhui1000002,华AZI419,1484084126,73.0,0
hanhui1000002,华AZI419,1484086920,72.0,0
hanhui1000002,华AZI419,1484097374,120.0,1
hanhui1000002,华AZI419,1484100795,78.0,0
hanhui1000002,华AZI419,1484103610,90.0,0
hanhui1000002,华AZI419,1484106936,139.0,1
hanhui1000002,华AZI419,1483376830,73.0,0
hanhui1000002,华AZI419,1483378220,63.0,0
hanhui1000002,华AZI419,1483384830,71.0,0
hanhui1000002,华AZI419,1483390990,109.0,0
hanhui1000002,华AZI419,1483402550,72.0,0
hanhui1000002,华AZI419,1484072090,72.0,0
hanhui1000002,华AZI419,1484073640,89.0,0
hanhui1000002,华AZI419,1484077530,88.0,0
hanhui1000002,华AZI419,1484084520,94.0,0
hanhui1000002,华AZI419,1484089870,79.0,0
hanhui1000002,华AZI419,1484100330,144.0,0
hanhui1000002,华AZI419,1484113360,72.0,0
hanhui1000002,华AZI419,1483383130,82.0,0
hanhui1000002,华AZI419,1483383740,92.0,0
hanhui1000002,华AZI419,1483385710,90.0,0
hanhui1000002,华AZI419,1483386790,71.0,0
hanhui1000002,华AZI419,1483387980,66.0,0
hanhui1000002,华AZI419,1483389020,114.0,0
hanhui1000002,华AZI419,1483393900,88.0,0
hanhui1000002,华AZI419,1484071300,95.0,0
hanhui1000002,华AZI419,1484102900,79.0,0
hanhui1000002,华AZI419,1484111067,112.0,0
hanhui1000002,华AZI419,1484114350,109.0,0
hanhui1000002,华AZI419,1484114360,103.0,0
hanhui1000002,华AZI419,1483388870,110.0,0
