driverID,carPlateNumber,unix_Time,AverageSpeed,OverspeedIncident
likun1000003,华AVM936,1483478810,112.0,0
likun1000003,华AVM936,1483479280,73.0,0
likun1000003,华AVM936,1483487070,61.0,0
likun1000003,华AVM936,1483501690,68.0,0
likun1000003,华AVM936,1483503210,113.0,0
likun1000003,华AVM936,1483511150,78.0,0
likun1000003,华AVM936,1484068590,119.0,0
likun1000003,华AVM936,1484074330,88.0,0
likun1000003,华AVM936,1484085050,70.0,0
likun1000003,华AVM936,1484088540,131.5,0
likun1000003,华AVM936,1484095990,93.0,0
likun1000003,华AVM936,1484104980,67.0,0
likun1000003,华AVM936,1483478684,124.0,1
likun1000003,华AVM936,1483481360,72.0,0
likun1000003,华AVM936,1483490910,63.0,0
likun1000003,华AVM936,1483499700,101.0,0
likun1000003,华AVM936,1483506570,64.0,0
likun1000003,华AVM936,1483506780,73.0,0
likun1000003,华AVM936,1483508810,92.0,0
likun1000003,华AVM936,1484064620,111.0,0
likun1000003,华AVM936,1484071360,89.0,0
likun1000003,华AVM936,1484072870,105.0,0
likun1000003,华AVM936,1484075970,74.0,0
likun1000003,华AVM936,1484078360,91.0,0
likun1000003,华AVM936,1484078976,70.0,0
likun1000003,华AVM936,1484086174,104.0,0
likun1000003,华AVM936,1484099860,66.0,0
likun1000003,华AVM936,1484100170,63.0,0
likun1000003,华AVM936,1484107640,99.0,0
likun1000003,华AVM936,1483468041,120.0,0
likun1000003,华AVM936,1483469190,119.0,0
likun1000003,华AVM936,1483473420,111.0,0
likun1000003,华AVM936,1483480950,87.0,0
likun1000003,华AVM936,1483486610,105.0,0
likun1000003,华AVM936,1483498880,109.0,0
likun1000003,华AVM936,1483503837,120.0,0
likun1000003,华AVM936,1483504039,144.0,1
likun1000003,华AVM936,1483504610,116.0,0
likun1000003,华AVM936,1483514589,120.0,0
likun1000003,华AVM936,1484064680,113.0,0
likun1000003,华AVM936,1484075232,120.0,0
likun1000003,华AVM936,1484080440,128.0,0
likun1000003,华AVM936,1484082260,101.0,0
likun1000003,华AVM936,1484084180,102.0,0
likun1000003,华AVM936,1484084220,145.0,0
likun1000003,华AVM936,1484086090,117.0,0
likun1000003,华AVM936,1484098110,88.0,0
likun1000003,华AVM936,1484105370,69.0,0
likun1000003,华AVM936,1483461850,144.0,0
likun1000003,华AVM936,1483468160,119.0,0
likun1000003,华AVM936,1483468780,71.0,0
likun1000003,华AVM936,1483506750,136.0,0
likun1000003,华AVM936,1483507520,98.0,0
likun1000003,华AVM936,1483508080,119.0,0
likun1000003,华AVM936,1483508950,118.0,0
likun1000003,华AVM936,1483509060,98.0,0
likun1000003,华AVM936,1483512430,98.0,0
likun1000003,华AVM936,1483514670,124.0,0
likun1000003,华AVM936,1484066574,7.5,0
likun1000003,华AVM936,1484072173,120.0,0
likun1000003,华AVM936,1483462750,101.0,0
likun1000003,华AVM936,1483464230,77.0,0
likun1000003,华AVM936,1483491710,62.0,0
likun1000003,华AVM936,1483493140,104.0,0
likun1000003,华AVM936,1483502581,130.0,0
likun1000003,华AVM936,1483503930,84.0,0
likun1000003,华AVM936,1483506430,94.0,0
likun1000003,华AVM936,1483509980,81.0,0
likun1000003,华AVM936,1484069186,120.0,0
likun1000003,华AVM936,1484075907,120.0,0
likun1000003,华AVM936,1484084270,99.0,0
likun1000003,华AVM936,1484092520,88.0,0
likun1000003,华AVM936,1483481418,120.0,0
likun1000003,华AVM936,1483481690,117.0,0
likun1000003,华AVM936,1483481772,107.0,0
likun1000003,华AVM936,1483504730,107.0,0
likun1000003,华AVM936,1483512749,120.0,0
likun1000003,华AVM936,1484066630,83.0,0
likun1000003,华AVM936,1484090830,61.0,0
likun1000003,华AVM936,1484090890,118.0,0
likun1000003,华AVM936,1484097800,102.0,0
likun1000003,华AVM936,1484099600,94.0,0
likun1000003,华AVM936,1483465890,66.0,0
likun1000003,华AVM936,1483471780,112.0,0
likun1000003,华AVM936,1483472940,111.0,0
likun1000003,华AVM936,1483473240,104.0,0
likun1000003,华AVM936,1483480060,146.0,0
likun1000003,华AVM936,1483488494,75.0,0
likun1000003,华AVM936,1483498260,65.0,0
likun1000003,华AVM936,1483499750,80.0,0
likun1000003,华AVM936,1483504930,146.0,0
likun1000003,华AVM936,1483507620,106.0,0
likun1000003,华AVM936,1484064910,89.0,0
likun1000003,华AVM936,1484070690,87.0,0
likun1000003,华AVM936,1484072900,117.0,0
likun1000003,华AVM936,1484074650,136.0,0
likun1000003,华AVM936,1484076720,81.0,0
likun1000003,华AVM936,1484080060,104.0,0
likun1000003,华AVM936,1484085266,84.0,0
likun1000003,华AVM936,1484086601,120.0,0
likun1000003,华AVM936,1484098990,88.0,0
likun1000003,华AVM936,1483463150,61.0,0
likun1000003,华AVM936,1483471972,128.0,1
likun1000003,华AVM936,1483491880,61.0,0
likun1000003,华AVM936,1483515100,94.0,0
likun1000003,华AVM936,1484076530,102.0,0
likun1000003,华AVM936,1484087210,88.0,0
likun1000003,华AVM936,1484088750,68.0,0
likun1000003,华AVM936,1484092320,97.0,0
likun1000003,华AVM936,1484106670,71.0,0
likun1000003,华AVM936,1484106870,108.0,0
likun1000003,华AVM936,1483467120,91.0,0
likun1000003,华AVM936,1483475030,118.0,0
likun1000003,华AVM936,1483485510,88.0,0
likun1000003,华AVM936,1483500310,129.0,0
likun1000003,华AVM936,1483504969,146.5,1
likun1000003,华AVM936,1483509510,66.0,0
likun1000003,华AVM936,1483515360,117.0,0
likun1000003,华AVM936,1484068453,11.0,0
likun1000003,华AVM936,1484087920,69.0,0
likun1000003,华AVM936,1484091235,130.0,1
likun1000003,华AVM936,1484098710,116.0,0
likun1000003,华AVM936,1484099640,101.0,0
likun1000003,华AVM936,1483462006,93.0,0
likun1000003,华AVM936,1483467250,81.0,0
likun1000003,华AVM936,1483474070,74.0,0
likun1000003,华AVM936,1483480540,102.0,0
likun1000003,华AVM936,1483480947,120.0,0
likun1000003,华AVM936,1483486985,142.0,1
likun1000003,华AVM936,1483493370,75.0,0
likun1000003,华AVM936,1483494190,108.0,0
likun1000003,华AVM936,1483495320,95.0,0
likun1000003,华AVM936,1483496360,62.0,0
likun1000003,华AVM936,1483506470,116.0,0
likun1000003,华AVM936,1484065270,65.0,0
likun1000003,华AVM936,1484102200,66.0,0
likun1000003,华AVM936,1483462350,64.0,0
likun1000003,华AVM936,1483464790,64.0,0
likun1000003,华AVM936,1483479570,71.0,0
likun1000003,华AVM936,1483486020,68.0,0
likun1000003,华AVM936,1483490310,61.0,0
likun1000003,华AVM936,1483503710,119.0,0
likun1000003,华AVM936,1483509360,117.0,0
likun1000003,华AVM936,1483510600,117.0,0
likun1000003,华AVM936,1483512660,108.0,0
likun1000003,华AVM936,1483513820,109.0,0
likun1000003,华AVM936,1484070600,99.0,0
likun1000003,华AVM936,1484083788,82.0,0
likun1000003,华AVM936,1484086550,136.0,0
likun1000003,华AVM936,1484088950,81.0,0
likun1000003,华AVM936,1484095748,1.0,0
likun1000003,华AVM936,1484097010,85.0,0
likun1000003,华AVM936,1484099080,132.0,0
likun1000003,华AVM936,1484105580,119.0,0
likun1000003,华AVM936,1483462117,94.0,0
likun1000003,华AVM936,1483484750,109.0,0
likun1000003,华AVM936,1483487190,62.0,0
likun1000003,华AVM936,1483490660,78.0,0
likun1000003,华AVM936,1483501507,134.0,1
likun1000003,华AVM936,1483508580,69.0,0
likun1000003,华AVM936,1484086120,74.0,0
likun1000003,华AVM936,1484091651,70.0,0
likun1000003,华AVM936,1484094550,121.0,0
likun1000003,华AVM936,1484099110,106.0,0
likun1000003,华AVM936,1484101280,110.0,0
likun1000003,华AVM936,1483469900,118.0,0
likun1000003,华AVM936,1483476380,115.0,0
likun1000003,华AVM936,1483485692,120.0,0
likun1000003,华AVM936,1483488530,76.5,0
likun1000003,华AVM936,1483490560,112.0,0
likun1000003,华AVM936,1483495590,97.0,0
likun1000003,华AVM936,1483499680,110.0,0
likun1000003,华AVM936,1484079621,148.0,1
likun1000003,华AVM936,1484083794,79.0,0
likun1000003,华AVM936,1484086030,119.0,0
likun1000003,华AVM936,1484089030,110.0,0
likun1000003,华AVM936,1484089090,81.0,0
likun1000003,华AVM936,1484090960,65.0,0
likun1000003,华AVM936,1484094260,81.0,0
likun1000003,华AVM936,1484100190,79.0,0
likun1000003,华AVM936,1484101268,102.0,0
likun1000003,华AVM936,1483466560,94.0,0
likun1000003,华AVM936,1483477320,66.0,0
likun1000003,华AVM936,1483483400,87.0,0
likun1000003,华AVM936,1483486700,119.0,0
likun1000003,华AVM936,1483494870,141.0,0
likun1000003,华AVM936,1483500670,75.0,0
likun1000003,华AVM936,1483508277,142.0,1
likun1000003,华AVM936,1484072510,80.0,0
likun1000003,华AVM936,1484077750,91.0,0
likun1000003,华AVM936,1484078700,104.0,0
likun1000003,华AVM936,1484089650,65.0,0
likun1000003,华AVM936,1484095850,116.0,0
likun1000003,华AVM936,1484096697,120.0,0
likun1000003,华AVM936,1484104350,79.0,0
likun1000003,华AVM936,1483463830,71.0,0
likun1000003,华AVM936,1483498670,115.0,0
likun1000003,华AVM936,1483507870,64.0,0
likun1000003,华AVM936,1484064270,119.0,0
likun1000003,华AVM936,1484067240,85.0,0
likun1000003,华AVM936,1484069730,144.0,0
likun1000003,华AVM936,1484070420,105.0,0
likun1000003,华AVM936,1484073504,9.0,0
likun1000003,华AVM936,1484079760,91.0,0
likun1000003,华AVM936,1484089490,86.0,0
likun1000003,华AVM936,1484098480,87.0,0
likun1000003,华AVM936,1484099100,78.0,0
likun1000003,华AVM936,1484106240,69.0,0
likun1000003,华AVM936,1483466700,108.0,0
likun1000003,华AVM936,1483480790,67.0,0
likun1000003,华AVM936,1483481320,81.0,0
likun1000003,华AVM936,1483487660,72.0,0
likun1000003,华AVM936,1483496770,111.0,0
likun1000003,华AVM936,1483505910,60.0,0
likun1000003,华AVM936,1483510331,90.0,0
likun1000003,华AVM936,1483513770,127.0,1
likun1000003,华AVM936,1484071600,72.0,0
likun1000003,华AVM936,1484072930,71.0,0
likun1000003,华AVM936,1484094400,90.0,0
likun1000003,华AVM936,1484095025,110.0,0
likun1000003,华AVM936,1484095150,99.0,0
likun1000003,华AVM936,1484096820,118.0,0
likun1000003,华AVM936,1484101855,67.0,0
likun1000003,华AVM936,1483463055,105.0,0
likun1000003,华AVM936,1483468360,65.0,0
likun1000003,华AVM936,1483470300,71.0,0
likun1000003,华AVM936,1483478890,103.0,0
likun1000003,华AVM936,1483505478,11.0,0
likun1000003,华AVM936,1483510870,112.0,0
likun1000003,华AVM936,1484072034,60.0,0
likun1000003,华AVM936,1484075865,130.0,1
likun1000003,华AVM936,1484084920,66.0,0
likun1000003,华AVM936,1483471120,70.0,0
likun1000003,华AVM936,1483472130,95.0,0
likun1000003,华AVM936,1483478820,60.0,0
likun1000003,华AVM936,1483491310,96.0,0
likun1000003,华AVM936,1483493540,118.0,0
likun1000003,华AVM936,1483497380,82.0,0
likun1000003,华AVM936,1483504988,120.0,0
likun1000003,华AVM936,1484065420,112.0,0
likun1000003,华AVM936,1484072620,60.0,0
likun1000003,华AVM936,1484073740,110.0,0
likun1000003,华AVM936,1484080930,114.0,0
likun1000003,华AVM936,1484087960,102.0,0
likun1000003,华AVM936,1484094900,106.0,0
likun1000003,华AVM936,1484096690,144.0,0
likun1000003,华AVM936,1484103610,94.0,0
likun1000003,华AVM936,1483491350,147.0,0
likun1000003,华AVM936,1483492610,98.0,0
likun1000003,华AVM936,1483494570,82.0,0
likun1000003,华AVM936,1483508060,88.0,0
likun1000003,华AVM936,1484067920,91.0,0
likun1000003,华AVM936,1484069440,100.0,0
likun1000003,华AVM936,1484085730,88.0,0
likun1000003,华AVM936,1484087560,125.0,0
likun1000003,华AVM936,1484089810,134.0,0
likun1000003,华AVM936,1484091612,88.0,0
likun1000003,华AVM936,1483459830,68.0,0
likun1000003,华AVM936,1483461840,92.0,0
likun1000003,华AVM936,1483467750,79.0,0
likun1000003,华AVM936,1483472440,105.0,0
likun1000003,华AVM936,1483475010,69.0,0
likun1000003,华AVM936,1483476838,126.0,0
likun1000003,华AVM936,1483496880,109.0,0
likun1000003,华AVM936,1484066910,61.0,0
likun1000003,华AVM936,1484067845,120.0,0
likun1000003,华AVM936,1484075680,111.0,0
likun1000003,华AVM936,1484079975,86.0,0
likun1000003,华AVM936,1484083600,91.5,0
likun1000003,华AVM936,1483465151,90.0,0
likun1000003,华AVM936,1483475760,118.0,0
likun1000003,华AVM936,1483479923,120.0,0
likun1000003,华AVM936,1483497730,78.0,0
likun1000003,华AVM936,1483501610,95.0,0
likun1000003,华AVM936,1483502410,92.0,0
likun1000003,华AVM936,1483504520,100.0,0
likun1000003,华AVM936,1484068020,94.0,0
likun1000003,华AVM936,1484070129,113.0,0
likun1000003,华AVM936,1484070530,136.0,0
likun1000003,华AVM936,1484071580,97.0,0
likun1000003,华AVM936,1484077174,120.0,0
likun1000003,华AVM936,1484087000,102.0,0
likun1000003,华AVM936,1484088227,74.0,0
likun1000003,华AVM936,1484091710,66.0,0
likun1000003,华AVM936,1484094870,107.0,0
likun1000003,华AVM936,1484095970,144.0,0
likun1000003,华AVM936,1483465195,120.0,0
likun1000003,华AVM936,1483465741,103.0,0
likun1000003,华AVM936,1483467310,116.0,0
likun1000003,华AVM936,1483476320,74.0,0
likun1000003,华AVM936,1483478330,62.0,0
likun1000003,华AVM936,1483487690,101.0,0
likun1000003,华AVM936,1483503863,120.0,0
likun1000003,华AVM936,1483506460,79.0,0
likun1000003,华AVM936,1484075422,71.0,0
likun1000003,华AVM936,1484075490,68.0,0
likun1000003,华AVM936,1484098100,80.0,0
likun1000003,华AVM936,1484101960,75.0,0
likun1000003,华AVM936,1484102580,140.0,0
likun1000003,华AVM936,1483460600,101.0,0
likun1000003,华AVM936,1483464577,120.0,0
likun1000003,华AVM936,1483465450,95.0,0
likun1000003,华AVM936,1483472240,86.0,0
likun1000003,华AVM936,1483479025,135.0,1
likun1000003,华AVM936,1483505511,122.0,1
likun1000003,华AVM936,1483509837,116.0,0
likun1000003,华AVM936,1484076510,107.0,0
likun1000003,华AVM936,1484085360,76.0,0
likun1000003,华AVM936,1484102740,93.0,0
likun1000003,华AVM936,1484107739,120.0,0
likun1000003,华AVM936,1483459440,129.0,0
likun1000003,华AVM936,1483460917,132.0,1
likun1000003,华AVM936,1483461760,77.0,0
likun1000003,华AVM936,1483471140,75.0,0
likun1000003,华AVM936,1483481480,88.0,0
likun1000003,华AVM936,1483483760,76.0,0
likun1000003,华AVM936,1483487350,121.5,0
likun1000003,华AVM936,1483489545,66.0,0
likun1000003,华AVM936,1483490000,83.0,0
likun1000003,华AVM936,1483492020,76.0,0
likun1000003,华AVM936,1483500060,83.0,0
likun1000003,华AVM936,1483500930,81.0,0
likun1000003,华AVM936,1483502830,79.0,0
likun1000003,华AVM936,1483509093,3.0,0
likun1000003,华AVM936,1484076463,82.0,0
likun1000003,华AVM936,1484083660,92.0,0
likun1000003,华AVM936,1484084110,74.0,0
likun1000003,华AVM936,1484095020,77.0,0
likun1000003,华AVM936,1484100230,101.0,0
likun1000003,华AVM936,1484106800,89.0,0
likun1000003,华AVM936,1483459370,81.0,0
likun1000003,华AVM936,1483466780,95.0,0
likun1000003,华AVM936,1483499876,120.0,0
likun1000003,华AVM936,1483512668,66.0,0
likun1000003,华AVM936,1484075390,97.0,0
likun1000003,华AVM936,1484075977,128.0,1
likun1000003,华AVM936,1484079850,62.0,0
likun1000003,华AVM936,1484088450,74.0,0
likun1000003,华AVM936,1484097610,90.0,0
likun1000003,华AVM936,1484101990,99.0,0
likun1000003,华AVM936,1483469550,104.0,0
likun1000003,华AVM936,1483474550,7.0,0
likun1000003,华AVM936,1483476460,86.0,0
likun1000003,华AVM936,1483478320,66.0,0
likun1000003,华AVM936,1483482680,94.0,0
likun1000003,华AVM936,1483482900,76.0,0
likun1000003,华AVM936,1483489220,108.0,0
likun1000003,华AVM936,1484096664,3.0,0
likun1000003,华AVM936,1483473880,94.0,0
likun1000003,华AVM936,1483476060,99.0,0
likun1000003,华AVM936,1483477690,109.0,0
likun1000003,华AVM936,1483479750,82.0,0
likun1000003,华AVM936,1483497360,73.0,0
likun1000003,华AVM936,1483504590,86.0,0
likun1000003,华AVM936,1483511560,83.0,0
likun1000003,华AVM936,1484065410,100.0,0
likun1000003,华AVM936,1484077300,107.0,0
likun1000003,华AVM936,1484081830,88.0,0
likun1000003,华AVM936,1484083703,73.0,0
likun1000003,华AVM936,1484096050,99.0,0
likun1000003,华AVM936,1483472096,120.0,0
likun1000003,华AVM936,1483475130,107.0,0
likun1000003,华AVM936,1483479416,119.0,0
likun1000003,华AVM936,1483479668,73.0,0
likun1000003,华AVM936,1483502340,82.0,0
likun1000003,华AVM936,1483510385,120.0,0
likun1000003,华AVM936,1484067567,110.0,0
likun1000003,华AVM936,1484067810,65.0,0
likun1000003,华AVM936,1484069240,106.0,0
likun1000003,华AVM936,1484074830,112.0,0
likun1000003,华AVM936,1484076050,79.0,0
likun1000003,华AVM936,1484090210,101.0,0
likun1000003,华AVM936,1484092076,104.0,0
likun1000003,华AVM936,1484107200,99.0,0
likun1000003,华AVM936,1483463470,63.0,0
likun1000003,华AVM936,1483488250,108.0,0
likun1000003,华AVM936,1483488840,60.0,0
likun1000003,华AVM936,1483491300,62.0,0
likun1000003,华AVM936,1483498300,112.0,0
likun1000003,华AVM936,1483505036,120.0,0
likun1000003,华AVM936,1483506560,107.0,0
likun1000003,华AVM936,1483515410,69.0,0
likun1000003,华AVM936,1484078650,94.0,0
likun1000003,华AVM936,1484082800,76.0,0
likun1000003,华AVM936,1484086680,135.0,0
likun1000003,华AVM936,1484091010,62.0,0
likun1000003,华AVM936,1484106970,118.0,0
likun1000003,华AVM936,1483459870,96.0,0
likun1000003,华AVM936,1483468150,113.0,0
likun1000003,华AVM936,1483470457,128.0,1
likun1000003,华AVM936,1483498130,149.0,0
likun1000003,华AVM936,1483503220,75.0,0
likun1000003,华AVM936,1483503726,110.0,0
